mall_name,shop_name,category,floor,description,open_time,close_time
Icon Siam,Nike,Sports,1,Athletic footwear and apparel.,10:00 AM,10:00 PM
icon-siam,Apple Store,Electronics,2,Premium electronics and gadgets.,10am,10pm
ICONSIAM,Starbucks,Cafe,G,Coffee and pastries.,08:00,22:00
Siam Center,Zara,Fashion,1,Latest fashion trends.,10:00,22:00
Siam-Center,Sephora,Beauty,G,Cosmetics and beauty products.,10:00 AM,10:00 PM
Siam Center,Adidas,Sports,2,Sports apparel and shoes.,9.30,21.30
Siam Paragon,Kinokuniya,Books,3,Large selection of books and magazines.,10:00,22:00
SiamParagon,Gourmet Market,Supermarket,G,Premium groceries.,0900,2200
Siam Paragon,Rolex,Jewelry,M,Luxury watches.,11:00 AM,8:00 PM
Icon Siam,Uniqlo,Fashion,3,Casual wear.,10am,10:00 PM
Siam Center,Lush,Beauty,1,Handmade cosmetics.,10:00,10pm
Siam Paragon,H&M,Fashion,1,Affordable fashion.,10.00,22.00
